,FedEx Express순 운임,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
고객 이름/위치:,,,,,,,,,,,,,,,,,,,,,,
"DONGMYUNG BEARING CO., LTD.123, SAEBYEOK-RO 215BEON-GIL,BUSAN 46988",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,South Korea 대한민국 Express 운임,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
대한민국 FedEx International Import,,,,,,,,,,,,,,,,,,,,,,
South Korea  ImportOne 특별 운임,,,,,,,,,,,,,,,,,,,,,,
FedEx International Priority Import,,,,,,,통화: KRW,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
순 운임은 2026년 03월 24일.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
중량,지역,,,,,,,,,,,,,,,,,,,,,
Kg,A,D,E,F,G,H,I,J,K,M,N,O,P,Q,R,S,T,U,V,W,X,Y
Envelope,,,,,,,,,,,,,,,,,,,,,,
,"31,090","35,790","18,680","18,700","38,830","54,780","65,350","59,000","14,640","36,970","27,570","31,810","27,470","13,840","23,470","16,400","20,540","26,170","15,530","17,090","23,860","22,920"
Pak,,,,,,,,,,,,,,,,,,,,,,
0.5,"43,150","57,800","39,580","39,630","39,040","62,570","74,850","66,660","18,490","37,170","34,920","51,590","42,390","18,130","33,590","17,890","29,040","31,460","15,600","22,640","34,520","29,770"
1,"51,100","67,800","46,580","46,240","48,430","81,970","98,050","94,120","21,900","46,110","41,360","60,520","48,210","21,470","39,780","21,180","34,400","36,710","18,480","26,820","40,880","35,260"
1.5,"58,450","75,200","53,190","52,510","57,140","98,160","117,200","117,570","25,050","54,400","45,550","67,120","51,580","23,650","43,810","23,330","37,890","41,680","21,140","29,540","46,760","40,330"
2,"64,900","83,500","59,680","59,730","66,200","116,070","139,450","141,720","27,820","63,030","50,340","74,530","57,050","26,130","48,420","25,780","41,870","47,420","23,470","32,640","51,920","44,780"
